Brand,Category,Product Name,Main Ingredient,Ingredients,Skin Type,Benefit,Description
The Body Shop,Face Cleansers,Chamomile Sumptuous Cleansing Butter,Chamomile,"Ethylhexyl Palmitate, Synthetic Wax, PEG-20 Glyceryl Triisostearate, Olea Europaea Fruit Oil, Butyrospermum Parkii Butter, Caprylyl Glycol, Tocopherol, Parfum, Aqua, Linalool, Limonene, Helianthus Annuus Seed Oil, Anthemis Nobilis Flower Extract, Citric Acid.",Sensitive,"Cleanse and nourish your skin with our rich Chamomile Sumptuous Cleansing Butter. A luxurious way to remove every last trace of makeup, while purifying, cleansing and refreshing your skin, leaving it soft to the touch.","['Cleansing Butter', ' Suitable for sensitive skin and contact lens wearers', ' Clean and silky-soft feel', 'Removes all types of makeup', ' Enriched with community trade  Chamomile from England']"
The Body Shop,Face Cleansers,Drops of Youthâ„¢ Youth Liquid Peel,Edelweiss Stem Cells,"Aqua, Alcohol Denat., Propylene Glycol, Glycerin, Carbomer, Ppg-26-Buteth-26, Palmitamidopropyltrimonium Chloride, Peg-40 Hydrogenated Castor Oil, Quaternium-80, Parfum, Behentrimonium Chloride, Linalool, Citronellol, Cetrimonium Chloride, Isopropyl Alcohol, Crithmum Maritimum Extract, Eryngium Maritimum Extract, Leontopodium Alpinum Callus Culture Extract, Sodium Hyaluronate, Citric Acid, Xanthan Gum",All,"The Drops of Youthâ„¢ Youth Liquid Peel exfoliates and gently peels off impurities from your skin, lifting dead skin cells and residuals. Infused with a blend of three plant stem cells, this revolutionary gel-to-peel leaves skin clean and purified from the dayâ€™s pollutants. Continued use will leave a fresh, smoother and more luminous youthful-looking skin.
","['100% vegetarian', ' With three plant stem cells:  edelweiss  from the Italian Alps,  sea holly and  criste marine from the Brittany Coast', ' Instantly feels like dead skin cells are lifted (88% agree*)', ' Peels off impurities and pollutants (88% agree*)', ' Skin feels cleansed from dayâ€™s pollution (86% agree*)', ' Dermatologically tested', ' *when tested on 109 women']"
The Body Shop,Face Masks,Tea Tree 3-in-1 Wash Scrub Mask,Tea Tree,"Aqua/Water/Eau, Kaolin, Glycerin, Propanediol, Perlite, Argilla/Magnesium Aluminum Silicate, Xanthan Gum, Cocamidopropyl Betaine, Sodium Laureth Sulfate, Decyl Glucoside, PEG-7 Glyceryl Cocoate, Alcohol Denat., Jojoba Esters, Phenoxyethanol, Melaleuca Alternifolia Leaf Oil/Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sodium Chloride, Citric Acid, Salicylic Acid, Calophyllum Inophyllum Seed Oil, Ethylhexylglycerin, Menthol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Tetrasodium Pyrophosphate, Leptospermum Petersonii Oil, Tocopherol, CI 77891/Titanium Dioxide, CI 77499/Iron Oxides.",Acne Prone,"Our Tea Tree 3-in-1 Wash.Scrub.Mask gives you three products in one to help battle blemishes and excess oil. When used as a wash, the foaming product removes impurities and excess oil; as a scrub, the exfoliants unclog pores to leave skin feeling smoother. When applied as a mask, the drying clay deeply cleanses and mattifies and helps maintain clearer looking skin.","['100% vegan ', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya ', 'Soothes and calms skin while absorbing excess oil ', 'Clay mask for blemished skin']"
The Body Shop,Face Cleansers,Vitamin C Glow Revealing Liquid Peel,Camu Camu,"Aqua/Water/Eau, Glycerin, Alcohol Denat., Carbomer, Palmitamidopropyltrimonium Chloride, Propylene Glycol, PPG-26-Buteth-26, Polyglyceryl-4 Caprate, Polyglyceryl-6 Caprylate, PEG-40 Hydrogenated Castor Oil, Parfum/Fragrance, Limonene, 3-O-Ethyl Ascorbic Acid, Citric Acid, Benzyl Salicylate, Myrciaria Dubia Fruit Extract, Linalool, Benzyl Alcohol, Aloe Barbadensis Leaf Juice Powder.",All,The Vitamin C Glow Revealing Liquid Peel specifically targets pollutants that are left sitting on the skin at the end of the day.,"['This transforming gel-to-peel texture peels away dull, tired city skin for a happy healthy glow', 'The PH of the gel helps to release surface cells', 'Contains our most potent Camu Camu Berry. 60 times more Vitamin C concentration than an orange!', ' Learn how to get glowing skin! ', ' Enriched with community trade  Camu Camu from Peru']"
The Body Shop,Face Cleansers,Vitamin E Cream Cleanser,Shea,"Aqua/Water (Solvent/Diluent), Ethylhexyl Palmitate (Skin Conditioning Agent), Isohexadecane (Emollient/Solvent), Sorbitol (Humectant), Dimethicone (Skin Conditioning Agent), Sorbitan Stearate (Emulsifier), Triticum Vulgare Germ Oil/Triticum Vulgare (Wheat) Germ Oil (Emollient), Glycine Soja Oil/Glycine Soja (Soybean) Oil (Emollient/Skin Conditioner), Phenoxyethanol (Preservative), Glyceryl Stearate (Emulsifier), PEG-100 Stearate (Surfactant), Cetearyl Alcohol (Emulsifier), Tocopheryl Acetate (Antioxidant), Butyrospermum Parkii Butter/Butyrospermum Parkii (Shea) Butter (Skin Conditioning Agent - Emollient), Acrylates/C10-30 Alkyl Acrylate Crosspolymer (Stabiliser/Viscosity Modifier), Parfum/Fragrance (Fragrance), Ethylhexylglycerin (Skin Conditioning Agent), Sodium Hydroxide (pH Adjuster), Benzyl Benzoate (Fragrance Ingredient), Disodium EDTA (Chelating Agent), Geraniol (Fragrance Ingredient), Linalool (Fragrance Ingredient), Limonene (Fragrance Ingredient), Citronellol (Fragrance Ingredient), Citric Acid (pH Adjuster).",All,"Our Vitamin E Cream Cleanser is a light and creamy cleanser that gently lifts dirt, makeup and impurities to leave skin feeling soft, supple and smooth. This cleanser contains wheatgerm oil to hydrate & protect from moisture loss, making it especially effective for dry and dull skin types.","['Perfect for all skin types, especially dry & dull skin', 'Contains antioxidants to protect skin from free radicals', 'Helps improve smoothness of skin', 'Pairs perfectly with our  Vitamin E Nourishing Night Cream ', 'Enriched with Community Trade Shea Butter from Ghana']"
The Body Shop,Face Cleansers,Vitamin C Daily Glow Cleansing Polish,Camu Camu,"Aqua/Water/Eau, Glycerin, Coco-Glucoside, Cocamidopropyl Betaine, Sodium Laureth Sulfate, Perlite, Sodium Chloride, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Benzyl Alcohol, Phenoxyethanol, Xanthan Gum, Jojoba Esters, Sodium Benzoate, Magnesium Ascorbyl Phosphate, Parfum/Fragrance, Sodium Citrate, Sodium Gluconate, Disodium EDTA, Linalool, Limonene, Benzyl Benzoate, Aloe Barbadensis Leaf Juice Powder, Citric Acid, Myrciaria Dubia Fruit Extract, Sodium Hydroxide, CI 73360/Red 30 Lake, CI 77492/Iron Oxides.",All,Remove dull skin cells and reveal radiance with Vitamin C Daily Glow Cleansing Polish. This Vitamin C face wash gently exfoliates and is enriched with jojoba particles to effectively clean skin leaving it smooth and revitalized.,"['Best for dull skin and those in need of a daily facial cleansing wash', 'Contains camu camu berry with 20x more Vitamin C than an orange', 'For a concentrated skin treatment after washing, pair with Drops of Youthâ„¢ Youth Concentrate', 'Learn how to get glowing skin! ', ' Enriched with community trade  Camu Camu from Peru']"
The Body Shop,Face Cleansers,Vitamin E Gentle Facial Wash,Shea,"Aqua/Water, Glycine Soja Oil/Glycine Soja (Soybean) Oil, Coco-Glucoside, Hydroxypropyl Starch Phosphate, Coco-Betaine, Sodium Methyl Cocoyl Taurate, Sodium Chloride, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Phenoxyethanol, Tocopheryl Acetate, Sodium Benzoate, Sodium Gluconate, Parfum/Fragrance, Rubus Idaeus Seed Oil/Rubus Idaeus (Raspberry) Seed Oil, Benzyl Benzoate, Benzyl Alcohol, Sodium Hydroxide, Geraniol, Linalool, Tocopherol, Limonene, Hydroxycitronellal, Alpha-Isomethyl Ionone, Cinnamyl Alcohol, Citric Acid, CI 14700/Red 4, CI 19140/Yellow 5.",Sensitive,"A gentle facial wash that lathers on the skin to leave it feeling clean, soft and refreshed.","['Face Wash', "" Wheat germ oil, one of nature's richest resouces of Vitamin E, moisturises, nourishes and helps to condition the skin."", 'Vitamin E helps to condition and protect of skin', 'Cleans the skin without drying it out', 'Helps to remove excess oil, light makeup and impurities']"
The Body Shop," Face,  Eyes & Lips",Oils of Lifeâ„¢ Intensely Revitalizing Cleansing Oil-In Gel,Black Cumin Seed Oil,"Glycerin, Olea Europaea Fruit Oil/Olive Fruit Oil, Helianthus Annuus Seed Oil/Sunflower Seed Oil, Aqua/Water/Eau, Sucrose Palmitate, Glycereth-26, Phenoxyethanol, Parfum/Fragrance, Tocopherol, Rosa Canina Fruit Oil, Nigella Sativa Seed Oil, Camellia Oleifera Seed Oil, Trisodium Ethylenediamine Disuccinate, Linalool, Limonene, Glycine Soja Oil/Soybean Oil, Geraniol, Citronellol, Citric Acid, CI 15985/Yellow 6, CI 19140/Yellow 5.",Dry,"Gently cleanse your skin with the nourishing Oils of Lifeâ„¢ Intensely Revitalizing Cleansing Oil-In-Gel, infused with a blend of 3 precious seed oils. Discover the unique sensorial texture that slowly transitions from a rich, gel texture that effortlessly glides over skin, into a light, milk lotion once in contact with water. This rich gel formula contains over 30% of pure oils, helping to gently cleanse your skin by removing and dissolving impurities while providing extra comfort in the process. After rinse-off your skin feels smoother, appears more radiant, and is moisturized up to 72 hours.","['Formulated with black cumin oil from Egypt, rosehip oil from Chile and camelia oil from China', ' Enriched with  Community trade organic olive oil from Italy ', '  Skin appears smoother on the surface (95% agree) ', '   Skin appears revitalized (88% agree)', ' Skin feels nourished (93% agree)', ' Skin is moisturized up to 72h ', ' Dermatologically tested ', 'Suitable for sensitive skin']"
The Body Shop,Face Cleansers,Vitamin C Glow Boosting Microdermabrasion Exfoliator,Camu Camu,"Aqua/Water/Eau, Glycerin, Perlite, Aluminum Silicate, Prunus Amygdalus Dulcis Oil/Prunus Amygdalus Dulcis (Sweet Almond) Oil, C15-19 Alkane, Butyrospermum Parkii Butter/Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Caprylyl Glycol, Polysorbate 60, Parfum/Fragrance, Xanthan Gum, Sodium Hydroxide, Limonene, 3-O-Ethyl Ascorbic Acid, Trisodium Ethylenediamine Disuccinate, Benzyl Salicylate, Myrciaria Dubia Fruit Extract, Linalool, Benzyl Alcohol, Carica Papaya Fruit Extract/Carica Papaya (Papaya) Fruit Extract, Mangifera Indica Fruit Extract/Mangifera Indica (Mango) Fruit Extract, Aloe Barbadensis Leaf Juice Powder, Leuconostoc/Radish Root Ferment Filtrate, Citric Acid, CI 15510/Orange 4, CI 19140/Yellow 5, CI 15985/Yellow 6.",All,"Improve skin texture and tone with the Vitamin C Glow Boosting Microdermabrasion Facial Exfoliator. Containing micro-sized garnet exfoliating particles to give skin a thorough and intense weekly exfoliation. It helps to renew skin texture and tone. Smooth dry, flaky skin away for a brighter, refined and refreshed complexion!","['Best for tired, dull skin in need of a radiance boosting exfoliating treatment', 'Ultra-fine exfoliating garnet particules stimulate skin renewal and leave skin incredibly soft and smooth', 'Contains Camu Camu Berry with 20x more Vitamin C than an orange', 'For an extra boost of youthful glow, pair with Vitamin C Glow Boosting Moisturizer ', 'Enriched with Community Trade Shea Butter from Ghana', 'Learn how to get glowing skin! ', ' Enriched with community trade  Camu Camu from Peru']"
The Body Shop,Toners,Aloe Calming Toner,Aloe Vera,"Aqua/Water (Solvent), Pentylene Glycol (Solvent), Sorbitol (Humectant), Butylene Glycol (Humectant), Glycerin (Humectant), Propanediol (Viscosity Modifier), Polysorbate 20 (Emulsifier), Caprylyl Glycol (Skin Conditioning Agent), Aloe Barbadensis Leaf Juice (Skin Conditioning Agent), Citric Acid (pH Adjuster), Sodium Hydroxide (pH Adjuster).",Sensitive,"Gently tone, prime and refresh your skin with our soothing toner. Aloe effectively removes residual impurities, to refresh and clarify sensitive skin.","['Formulated for sensitive skin ', 'No added fragrance, color or alcohol', 'Formulated without preservatives', ' Enriched with community trade Aloe Vera from Mexico']"
